WKT,
"POLYGON ((-749488.79465416 -1058218.42341423,-749586.681621569 -1058836.45740298,-749870.76066541 -1059393.99391881,-750313.224149575 -1059836.45740298,-750870.76066541 -1060120.53644682,-751488.79465416 -1060218.42341423,-752106.82864291 -1060120.53644682,-752664.365158745 -1059836.45740298,-753106.82864291 -1059393.99391881,-753390.90768675 -1058836.45740298,-753488.79465416 -1058218.42341423,-753390.90768675 -1057600.38942548,-753106.82864291 -1057042.85290964,-752664.365158745 -1056600.38942548,-752106.82864291 -1056316.31038164,-751488.79465416 -1056218.42341423,-750870.76066541 -1056316.31038164,-750313.224149575 -1056600.38942548,-749870.76066541 -1057042.85290964,-749586.68162157 -1057600.38942548,-749488.79465416 -1058218.42341423))"
"POLYGON ((-747016.476169777 -1056396.40497877,-747114.363137187 -1057014.43896752,-747398.442181027 -1057571.97548336,-747840.905665192 -1058014.43896752,-748398.442181027 -1058298.51801136,-749016.476169777 -1058396.40497877,-749634.510158527 -1058298.51801136,-750192.046674362 -1058014.43896752,-750634.510158527 -1057571.97548336,-750918.589202367 -1057014.43896752,-751016.476169777 -1056396.40497877,-750918.589202367 -1055778.37099002,-750634.510158527 -1055220.83447419,-750192.046674362 -1054778.37099002,-749634.510158527 -1054494.29194618,-749016.476169777 -1054396.40497877,-748398.442181027 -1054494.29194618,-747840.905665192 -1054778.37099002,-747398.442181027 -1055220.83447419,-747114.363137187 -1055778.37099002,-747016.476169777 -1056396.40497877))"
"POLYGON ((-748354.665818339 -1055485.47111331,-748452.552785748 -1056103.50510206,-748736.631829589 -1056661.0416179,-749179.095313754 -1057103.50510206,-749736.631829589 -1057387.5841459,-750354.665818339 -1057485.47111331,-750972.699807089 -1057387.5841459,-751530.236322924 -1057103.50510206,-751972.699807089 -1056661.0416179,-752256.778850929 -1056103.50510206,-752354.665818339 -1055485.47111331,-752256.778850929 -1054867.43712456,-751972.699807089 -1054309.90060873,-751530.236322924 -1053867.43712456,-750972.699807089 -1053583.35808072,-750354.665818339 -1053485.47111331,-749736.631829589 -1053583.35808072,-749179.095313754 -1053867.43712456,-748736.631829589 -1054309.90060873,-748452.552785749 -1054867.43712456,-748354.665818339 -1055485.47111331))"
"POLYGON ((-749356.08814991 -1048100.08197081,-749453.975117319 -1048718.11595956,-749738.05416116 -1049275.65247539,-750180.517645325 -1049718.11595956,-750738.05416116 -1050002.1950034,-751356.08814991 -1050100.08197081,-751974.12213866 -1050002.1950034,-752531.658654495 -1049718.11595956,-752974.12213866 -1049275.65247539,-753258.2011825 -1048718.11595956,-753356.08814991 -1048100.08197081,-753258.2011825 -1047482.04798206,-752974.12213866 -1046924.51146622,-752531.658654495 -1046482.04798206,-751974.12213866 -1046197.96893822,-751356.08814991 -1046100.08197081,-750738.05416116 -1046197.96893822,-750180.517645325 -1046482.04798206,-749738.05416116 -1046924.51146622,-749453.975117319 -1047482.04798206,-749356.08814991 -1048100.08197081))"
"POLYGON ((-752678.594815528 -1041839.28664719,-752776.481782937 -1042457.32063594,-753060.560826778 -1043014.85715178,-753503.024310943 -1043457.32063594,-754060.560826778 -1043741.39967978,-754678.594815528 -1043839.28664719,-755296.628804278 -1043741.39967978,-755854.165320113 -1043457.32063594,-756296.628804278 -1043014.85715178,-756580.707848118 -1042457.32063594,-756678.594815528 -1041839.28664719,-756580.707848118 -1041221.25265844,-756296.628804278 -1040663.71614261,-755854.165320113 -1040221.25265844,-755296.628804278 -1039937.1736146,-754678.594815528 -1039839.28664719,-754060.560826778 -1039937.1736146,-753503.024310943 -1040221.25265844,-753060.560826778 -1040663.71614261,-752776.481782937 -1041221.25265844,-752678.594815528 -1041839.28664719))"
"POLYGON ((-750691.848024191 -1044342.18732696,-750789.734991601 -1044960.22131571,-751073.814035441 -1045517.75783154,-751516.277519606 -1045960.22131571,-752073.814035441 -1046244.30035955,-752691.848024191 -1046342.18732696,-753309.882012941 -1046244.30035955,-753867.418528776 -1045960.22131571,-754309.882012941 -1045517.75783154,-754593.961056781 -1044960.22131571,-754691.848024191 -1044342.18732696,-754593.961056781 -1043724.15333821,-754309.882012941 -1043166.61682237,-753867.418528776 -1042724.15333821,-753309.882012941 -1042440.07429437,-752691.848024191 -1042342.18732696,-752073.814035441 -1042440.07429437,-751516.277519606 -1042724.15333821,-751073.814035441 -1043166.61682237,-750789.734991601 -1043724.15333821,-750691.848024191 -1044342.18732696))"
"POLYGON ((-744512.203579655 -1051013.71476814,-744610.090547065 -1051631.74875689,-744894.169590905 -1052189.28527272,-745336.63307507 -1052631.74875689,-745894.169590905 -1052915.82780073,-746512.203579655 -1053013.71476814,-747130.237568405 -1052915.82780073,-747687.77408424 -1052631.74875689,-748130.237568405 -1052189.28527272,-748414.316612245 -1051631.74875689,-748512.203579655 -1051013.71476814,-748414.316612245 -1050395.68077939,-748130.237568405 -1049838.14426355,-747687.77408424 -1049395.68077939,-747130.237568405 -1049111.60173555,-746512.203579655 -1049013.71476814,-745894.169590905 -1049111.60173555,-745336.63307507 -1049395.68077939,-744894.169590905 -1049838.14426355,-744610.090547065 -1050395.68077939,-744512.203579655 -1051013.71476814))"
"POLYGON ((-745869.228825833 -1037441.67815509,-745967.115793243 -1038059.71214384,-746251.194837083 -1038617.24865968,-746693.658321248 -1039059.71214384,-747251.194837083 -1039343.79118768,-747869.228825833 -1039441.67815509,-748487.262814583 -1039343.79118768,-749044.799330418 -1039059.71214384,-749487.262814583 -1038617.24865968,-749771.341858423 -1038059.71214384,-749869.228825833 -1037441.67815509,-749771.341858423 -1036823.64416634,-749487.262814583 -1036266.10765051,-749044.799330418 -1035823.64416634,-748487.262814583 -1035539.5651225,-747869.228825833 -1035441.67815509,-747251.194837083 -1035539.5651225,-746693.658321248 -1035823.64416634,-746251.194837083 -1036266.10765051,-745967.115793243 -1036823.64416634,-745869.228825833 -1037441.67815509))"
"POLYGON ((-743643.390321868 -1038294.24387552,-743741.277289277 -1038912.27786427,-744025.356333118 -1039469.8143801,-744467.819817283 -1039912.27786427,-745025.356333118 -1040196.35690811,-745643.390321868 -1040294.24387552,-746261.424310617 -1040196.35690811,-746818.960826452 -1039912.27786427,-747261.424310617 -1039469.8143801,-747545.503354458 -1038912.27786427,-747643.390321868 -1038294.24387552,-747545.503354458 -1037676.20988677,-747261.424310617 -1037118.67337093,-746818.960826452 -1036676.20988677,-746261.424310617 -1036392.13084293,-745643.390321868 -1036294.24387552,-745025.356333118 -1036392.13084293,-744467.819817283 -1036676.20988677,-744025.356333118 -1037118.67337093,-743741.277289277 -1037676.20988677,-743643.390321868 -1038294.24387552))"
"POLYGON ((-743216.3316142 -1059866.25675427,-743314.218581609 -1060484.29074302,-743598.29762545 -1061041.82725886,-744040.761109615 -1061484.29074302,-744598.29762545 -1061768.36978686,-745216.3316142 -1061866.25675427,-745834.36560295 -1061768.36978686,-746391.902118785 -1061484.29074302,-746834.36560295 -1061041.82725886,-747118.44464679 -1060484.29074302,-747216.3316142 -1059866.25675427,-747118.44464679 -1059248.22276552,-746834.36560295 -1058690.68624969,-746391.902118785 -1058248.22276552,-745834.36560295 -1057964.14372168,-745216.3316142 -1057866.25675427,-744598.29762545 -1057964.14372168,-744040.761109615 -1058248.22276552,-743598.29762545 -1058690.68624969,-743314.21858161 -1059248.22276552,-743216.3316142 -1059866.25675427))"
