WKT,
"MULTIPOLYGON (((-880132.134867885 -1054502.81720075,-880132.134867885 -1074502.81720075,-900132.134867885 -1074502.81720075,-900132.134867885 -1054502.81720075,-880132.134867885 -1054502.81720075)))"
"MULTIPOLYGON (((-888260.655925476 -1008267.48398499,-888260.655925476 -1028267.48398499,-908260.655925476 -1028267.48398499,-908260.655925476 -1008267.48398499,-888260.655925476 -1008267.48398499)))"
"MULTIPOLYGON (((-855794.090822772 -1036504.0767288,-855794.090822772 -1056504.0767288,-875794.090822772 -1056504.0767288,-875794.090822772 -1036504.0767288,-855794.090822772 -1036504.0767288)))"
"MULTIPOLYGON (((-834839.381893456 -1073642.73819552,-834839.381893456 -1093642.73819552,-854839.381893456 -1093642.73819552,-854839.381893456 -1073642.73819552,-834839.381893456 -1073642.73819552)))"
"MULTIPOLYGON (((-812294.402738445 -1049136.75371361,-812294.402738445 -1069136.75371361,-832294.402738445 -1069136.75371361,-832294.402738445 -1049136.75371361,-812294.402738445 -1049136.75371361)))"
"MULTIPOLYGON (((-793555.817482777 -1066777.88439777,-793555.817482777 -1086777.88439777,-813555.817482777 -1086777.88439777,-813555.817482777 -1066777.88439777,-793555.817482777 -1066777.88439777)))"
"MULTIPOLYGON (((-769804.325373586 -1073445.64025595,-769804.325373586 -1093445.64025595,-789804.325373586 -1093445.64025595,-789804.325373586 -1073445.64025595,-769804.325373586 -1073445.64025595)))"
"MULTIPOLYGON (((-848005.396940211 -989555.454893348,-848005.396940211 -1009555.45489335,-868005.396940211 -1009555.45489335,-868005.396940211 -989555.454893348,-848005.396940211 -989555.454893348)))"
"MULTIPOLYGON (((-782982.721882064 -1023408.10615187,-782982.721882064 -1043408.10615187,-802982.721882064 -1043408.10615187,-802982.721882064 -1023408.10615187,-782982.721882064 -1023408.10615187)))"
"MULTIPOLYGON (((-791209.291920405 -997947.898764629,-791209.291920405 -1017947.89876463,-811209.291920405 -1017947.89876463,-811209.291920405 -997947.898764629,-791209.291920405 -997947.898764629)))"
"MULTIPOLYGON (((-745700.077425681 -1154672.25732585,-745700.077425681 -1174672.25732585,-765700.077425681 -1174672.25732585,-765700.077425681 -1154672.25732585,-745700.077425681 -1154672.25732585)))"
"MULTIPOLYGON (((-745565.56050891 -1154709.12581955,-745565.56050891 -1174709.12581955,-765565.56050891 -1174709.12581955,-765565.56050891 -1154709.12581955,-745565.56050891 -1154709.12581955)))"
