id,x,y,z
1,1084145.092,748984.992,298.426
2,1084144.339,748983.838,298.601
3,1084135.329,748986.514,298.215
4,1084131.633,748987.603,298.066
5,1084128.674,748988.569,297.933
6,1084127.391,748987.152,298.047
7,1084124.421,748988.271,297.820
8,1084127.247,748988.047,297.622
9,1084128.065,748989.913,296.669
10,1084125.050,748989.288,297.193
11,1084124.574,748990.619,296.911
12,1084131.535,748985.302,298.305
13,1084130.970,748981.873,298.256
14,1084130.395,748977.787,298.223
15,1084129.849,748973.822,298.291
16,1084128.397,748974.917,298.361
17,1084128.945,748978.046,298.232
18,1084128.922,748977.995,298.663
19,1084128.346,748974.961,298.672
20,1084118.701,748979.740,298.659
21,1084118.676,748979.814,297.877
22,1084118.149,748976.654,298.106
23,1084118.154,748976.675,298.677
24,1084117.765,748975.833,298.023
25,1084125.878,748982.872,298.041
26,1084113.056,748982.341,297.858
27,1084119.898,748989.914,297.651
28,1084116.312,748990.565,297.438
29,1084110.725,748991.574,297.340
30,1084109.531,748990.003,297.833
31,1084115.407,748988.623,297.773
32,1084121.545,748987.995,297.787
33,1084113.264,748988.387,298.008
34,1084105.425,748990.172,297.903
35,1084107.194,748989.947,297.939
36,1084106.050,748991.193,297.627
37,1084109.246,748992.215,296.893
38,1084109.422,748992.094,297.268
39,1084114.726,748994.037,297.246
40,1084114.635,748993.624,297.173
41,1084114.558,748993.960,296.015
42,1084114.626,748994.124,295.881
43,1084116.729,748993.665,297.431
44,1084117.675,748993.456,297.507
45,1084118.657,748993.234,297.460
46,1084118.959,748993.657,297.638
47,1084119.348,748993.877,297.380
48,1084119.240,748993.214,297.383
49,1084119.196,748993.252,297.625
50,1084119.283,748993.812,297.632
51,1084119.394,748996.357,297.373
52,1084121.185,748995.962,297.376
53,1084121.474,748995.878,297.183
54,1084121.356,748995.425,297.165
55,1084121.013,748995.481,297.372
56,1084120.615,748993.453,297.371
57,1084124.697,748992.579,297.350
58,1084124.773,748992.469,297.343
59,1084124.813,748992.294,297.345
60,1084124.273,748992.095,297.338
61,1084124.054,748991.302,297.370
62,1084124.370,748990.628,297.390
63,1084124.233,748989.556,297.624
64,1084124.853,748992.353,296.340
65,1084124.860,748992.501,296.198
66,1084124.683,748992.648,296.138
67,1084120.731,748993.534,296.133
68,1084121.188,748995.407,296.166
69,1084121.415,748995.362,296.214
70,1084121.528,748995.976,296.173
71,1084119.409,748996.402,295.706
72,1084120.413,748996.245,295.983
73,1084120.259,748997.017,296.239
74,1084121.333,749001.363,296.109
75,1084123.090,749004.896,296.013
76,1084124.294,749006.414,296.057
77,1084125.940,749004.662,296.081
78,1084126.447,749003.358,296.060
79,1084125.457,749001.400,296.052
80,1084126.044,749001.014,295.732
81,1084125.095,748998.311,295.637
82,1084124.153,748998.294,296.132
83,1084124.410,748995.316,296.077
84,1084125.365,748993.235,296.116
85,1084125.846,748991.755,296.053
86,1084126.486,748992.788,295.149
87,1084125.454,748994.811,295.285
88,1084128.944,748990.782,296.078
89,1084128.837,748991.259,295.431
91,1084119.680,748997.308,295.406
92,1084119.710,749000.323,295.197
93,1084120.342,749002.968,295.203
94,1084120.824,749005.166,295.045
95,1084121.706,749006.073,295.065
96,1084122.750,749005.826,295.619
97,1084124.696,749005.093,296.070
98,1084124.969,749005.230,295.852
99,1084123.898,749005.768,295.697
100,1084124.157,749006.165,295.706
101,1084123.500,749007.465,295.567
102,1084122.952,749008.274,295.540
103,1084121.449,749009.052,295.482
104,1084122.386,749007.262,294.874
105,1084122.699,749007.790,294.982
106,1084122.707,749007.900,295.154
107,1084123.400,749007.077,295.548
108,1084120.978,749008.535,295.164
109,1084121.215,749007.519,294.931
110,1084123.539,749008.852,295.596
111,1084123.796,749010.368,296.071
112,1084121.922,749011.108,296.100
113,1084121.840,749010.269,295.667
114,1084126.703,749011.487,296.245
115,1084126.994,749010.647,295.894
116,1084124.317,749007.666,296.073
117,1084126.355,749008.608,296.188
118,1084126.371,749006.406,296.178
119,1084126.252,749006.225,296.029
120,1084127.452,749004.617,296.109
121,1084127.805,749004.715,296.275
122,1084127.141,749004.283,295.888
123,1084125.673,749005.724,295.789
124,1084128.998,749001.774,296.031
125,1084128.736,749001.457,295.644
126,1084131.757,749002.126,297.373
127,1084130.847,749000.797,296.120
128,1084141.492,749000.071,297.427
129,1084141.718,748998.214,296.147
130,1084146.592,749000.036,297.477
131,1084146.763,749001.339,297.614
132,1084146.456,748997.244,296.006
133,1084116.946,749002.368,295.032
134,1084119.112,749006.162,294.704
135,1084118.912,749004.859,294.982
136,1084118.360,749006.586,295.124
137,1084122.853,749006.094,295.616
138,1084122.345,749006.471,295.051
139,1084117.097,748994.621,297.635
140,1084121.259,748978.513,298.682
141,1084120.407,748976.272,298.526
142,1084120.403,748976.297,298.671
143,1084120.305,748975.397,298.524
144,1084121.098,748975.268,298.559
145,1084121.280,748976.107,298.564
146,1084121.288,748976.130,298.679
147,1084106.638,748985.922,297.907
148,1084104.982,748984.044,297.824
149,1084104.753,748982.446,297.744
150,1084104.456,748977.966,297.818
151,1084103.706,748978.359,297.819
152,1084102.168,748986.183,297.863
153,1084091.407,748988.045,297.790
154,1084081.838,748989.703,297.692
155,1084081.589,748989.152,297.747
156,1084081.993,748987.956,297.767
157,1084083.012,748985.408,297.742
158,1084083.896,748985.765,297.712
159,1084086.557,748984.200,297.772
160,1084086.592,748982.642,297.790
161,1084084.922,748982.384,297.854
162,1084083.782,748984.205,298.253
163,1084084.020,748983.393,298.230
164,1084085.641,748983.069,298.387
165,1084084.621,748981.243,297.736
166,1084082.776,748981.521,298.443
167,1084080.799,748981.872,298.546
168,1084080.468,748983.175,298.614
169,1084080.911,748985.443,298.327
170,1084079.588,748984.307,298.438
171,1084076.467,748989.183,298.280
172,1084076.690,748990.110,297.580
173,1084076.712,748990.051,298.226
174,1084080.928,748989.353,298.213
175,1084080.813,748988.733,298.219
176,1084080.927,748987.761,298.161
177,1084076.247,748984.007,297.734
178,1084076.385,748984.208,298.254
179,1084078.832,748983.761,298.223
180,1084078.842,748983.690,298.110
181,1084078.124,748982.296,298.055
182,1084076.101,748994.252,297.651
183,1084088.275,748991.306,297.753
184,1084082.386,748996.934,297.747
185,1084077.915,748999.274,297.686
186,1084076.874,749000.639,297.380
187,1084085.682,748996.884,297.622
188,1084096.697,748979.231,297.752
189,1084099.277,748978.830,298.566
190,1084101.869,748978.402,298.589
191,1084103.002,748979.479,297.748
192,1084097.776,748980.426,297.760
193,1084091.907,748980.042,297.849
194,1084092.267,748981.454,297.791
195,1084092.096,748984.346,297.773
196,1084090.007,748983.751,297.739
197,1084087.577,748983.201,297.682
198,1084087.006,748981.747,297.690
199,1084087.175,748980.789,297.721
200,1084088.645,748982.377,298.402
201,1084090.303,748982.219,298.408
202,1084092.460,748994.384,297.487
203,1084094.291,748992.730,297.716
204,1084097.171,748991.620,297.801
205,1084100.850,748992.965,297.519
206,1084101.663,748992.269,297.703
207,1084095.090,748994.190,296.868
208,1084097.999,748994.914,296.620
209,1084100.045,748994.057,296.552
210,1084105.613,748993.430,296.494
211,1084107.974,748993.902,296.449
212,1084109.623,748995.147,295.829
213,1084109.876,748994.664,297.249
214,1084113.409,748994.824,295.865
215,1084115.123,748996.683,294.912
216,1084113.666,748997.114,295.098
217,1084109.610,748996.410,295.586
218,1084111.566,748997.300,295.055
219,1084093.057,748994.570,296.646
220,1084084.341,748997.926,296.495
221,1084077.392,749000.696,296.220
222,1084077.078,749002.472,295.922
223,1084082.702,749001.026,296.031
224,1084084.952,748999.696,296.313
225,1084091.601,748998.078,296.311
226,1084095.389,748997.750,296.329
227,1084101.627,748996.522,296.258
228,1084105.931,748996.080,296.083
229,1084108.382,748996.263,295.821
230,1084109.271,748997.648,294.973
231,1084107.143,748998.777,295.029
232,1084102.246,748999.454,295.137
233,1084097.469,748999.850,295.045
234,1084091.478,749001.505,295.111
235,1084085.639,749002.863,294.970
236,1084077.837,749005.462,294.850
237,1084082.013,749003.865,294.761
238,1084087.355,749002.961,294.720
239,1084093.338,749002.320,294.797
240,1084100.438,749001.010,294.810
241,1084103.107,749001.957,294.768
242,1084106.661,749001.525,294.804
243,1084109.753,748999.438,294.799
244,1084109.594,748998.533,294.756
245,1084111.747,748997.860,294.801
246,1084113.641,748997.716,294.809
247,1084113.374,748998.491,294.788
248,1084115.449,748997.921,295.159
249,1084117.083,749000.847,295.115
250,1084115.083,749001.590,294.715
251,1084114.921,749003.446,294.688
252,1084116.700,749003.929,295.089
253,1084115.312,749005.721,294.988
254,1084114.601,749005.133,294.590
255,1084114.598,749006.044,295.079
256,1084112.968,749005.197,294.533
257,1084111.206,749004.905,294.359
258,1084110.505,749005.733,294.536
259,1084111.389,749005.812,294.720
260,1084110.767,749006.397,294.784
261,1084110.133,749006.476,294.819
262,1084114.105,749007.452,295.011
