ID,X,Y,Z
3427,1090891.266,628286.6469,578.3300171
3428,1090892.554,628276.7277,578.6599731
3429,1090895.773,628251.9295,579.2600098
3430,1090898.991,628227.1313,579.4000244
3431,1090902.21,628202.3332,579.2199707
3450,1090888.882,628266.1646,578.7399902
3451,1090895.319,628216.5683,579.1699829
3473,1090893.578,628191.1264,578.7299805
3474,1090894.866,628181.2072,578.6900024
3475,1090900.016,628141.5301,578.5300293
3501,1090878.319,628269.8368,578.3400269
3502,1090879.606,628259.9175,578.5800171
3503,1090889.906,628180.5634,578.460022
3504,1090894.413,628145.846,578.3599854
3505,1090898.275,628116.0882,578.4099731
3534,1090873.359,628269.193,578.210022
3535,1090875.934,628249.3545,578.5599976
3536,1090880.44,628214.6371,578.539978
3537,1090883.659,628189.8389,578.4099731
3538,1090886.878,628165.0408,578.039978
3539,1090887.522,628160.0811,578.0599976
3540,1090902.972,628041.05,577.6500244
3565,1090865.824,628288.3878,577.5599976
3566,1090866.468,628283.4281,577.6699829
3567,1090881.274,628169.3566,577.8800049
3568,1090881.918,628164.397,577.7999878
3569,1090904.45,627990.81,576.9199829
3591,1090869.234,628223.2688,578.0900269
3592,1090871.809,628203.4303,577.8400269
3593,1090882.752,628119.1166,577.7399902
3594,1090895.628,628019.924,576.9199829
3595,1090897.559,628005.0451,576.8400269
3596,1090901.421,627975.2873,576.5
3618,1090858.48,628267.2617,577.7000122
3619,1090864.918,628217.6654,577.9799805
3620,1090866.205,628207.7462,577.5800171
3621,1090874.574,628143.271,577.4199829
3622,1090877.793,628118.4728,577.4899902
3623,1090878.437,628113.5132,577.4099731
3624,1090896.462,627974.6436,576.1699829
3645,1090854.808,628256.6987,577.6500244
3646,1090863.821,628187.2639,577.3699951
3647,1090866.396,628167.4254,577.1599731
3648,1090867.683,628157.5061,577.2526856
3649,1090870.902,628132.708,577.0999756
3650,1090873.477,628112.8694,577.1799927
3651,1090874.764,628102.9502,577.1300049
3652,1090880.558,628058.3135,576.9099731
3653,1090892.79,627964.0806,575.789978
3654,1090896.652,627934.3228,574.5200195
3655,1090901.158,627899.6054,572.8099976
3656,1090901.802,627894.6458,572.5900269
3657,1090902.446,627889.6861,572.3099976
3672,1090845.986,628285.8127,577.0300293
3673,1090847.273,628275.8935,577.0599976
3674,1090847.917,628270.9338,577.2700195
3675,1090858.861,628186.6201,577.1699829
3676,1090861.436,628166.7816,576.9500122
3677,1090864.655,628141.9835,576.9400024
3678,1090889.118,627953.5175,575.0700073
3679,1090891.049,627938.6387,574.4199829
3680,1090896.843,627894.002,572.2000122
3696,1090858.408,628151.259,576.8599854
3697,1090871.283,628052.0664,576.3300171
3698,1090873.858,628032.2278,576.0999756
3699,1090874.502,628027.2682,576.0200195
3700,1090879.008,627992.5508,575.6799927
3701,1090900.896,627823.9235,566.5100098
3724,1090857.954,628115.8978,576.5599976
3725,1090872.117,628006.7859,575.5200195
3726,1090874.692,627986.9474,575.2199707
3727,1090880.486,627942.3108,573.9099731
3728,1090881.13,627937.3511,573.6400147
3729,1090886.923,627892.7145,571.2199707
3739,1090835.613,628249.1641,576.8699951
3740,1090842.695,628194.6081,576.5300293
3741,1090843.338,628189.6485,576.5200195
3742,1090851.707,628125.1733,576.1199951
3743,1090878.101,627921.8285,572.4799805
3744,1090880.676,627901.99,571.5499878
3745,1090883.251,627882.1515,570.8099976
3746,1090883.895,627877.1918,570.5800171
3747,1090892.264,627812.7167,564.9772949
3748,1090894.839,627792.8782,564.5700073
